year,award_no,presented_by,category,film,winner,speech
2010,83,Reese Witherspoon,Actor in a Supporting Role,The Fighter,Christian Bale,"CHRISTIAN BALE:
 Bloody hell. Wow. What a roomful of talented and inspirational people and what the hell am I doing here in the midst of you? It's such an honor. David O. Russell, what a great spirit, you know, on the set. Just, just fantastic. And thank you so much, mate, for making the work that all of us actors did actually mean something, you know? I mean, that's the director's job of translating it to the audience and making it mean something. Thank you for that. Thank you to Pamela Martin, likewise, as our editor. The just incredible work of every actor. Melissa – I'm not gonna drop the f-bomb like she did; I've done that plenty before – Amy, Jack, Mark, man, you know the guy who just got this whole thing going right from the get go.

 Everybody in Lowell, all the actors from there. Dicky and Micky. Where's my quacker? Is he up there? Dicky's up there somewhere, mate. [Dicky Eklund stands up and waves from the audience.] Eh, mate, you're the best! You're the best. I can't wait – and listen, he's had a wonderful story and I can't wait to see the next chapter of his story, you know? If you wanna, if you wanna be a champ, if you wanna get trained with him, go meet with him. Dickeklund.com. Go do it. Check him out, okay. Alright. He deserves it.

 Our producers: Mark, David, Todd, incredible. Relativity and Paramount, for just pushing this out there and letting people know it exists. So many movies are just brilliant but nobody ever knows about them, you know? So we're so lucky to be here tonight and have people recognize that. My team, led by Patrick and Boomer and Carlos and Jen and Anna and Julie, thank you so much for everything you do. And of course, mostly, my wonderful wife... [chokes up] I didn't think I was like this! [Unintelligible] my wonderful wife, who's my mast through the storms of life. I hope I'm likewise to you, darling, and our little girl who's taught me so much more than I'll ever be able to teach her. Thank you. Thank you so much.
"
2010,83,Jeff Bridges,Actress in a Leading Role,Black Swan,Natalie Portman,"NATALIE PORTMAN:
 Thank you. Thank you so much. Thank you so much to the Academy. This is insane and I truly, sincerely wish that the prize tonight was to get to work with my fellow nominees. I'm so in awe of you. I am so grateful to get to do the job that I do. I love it so much. I want to thank my parents, who are right there, first and foremost for giving me my life and for giving me the opportunity to work from such an early age, and showing me every day how to be a good human being by example.

 And I want to thank my team who works with me every day. Aleen Keshishian, my manager for eighteen years. And my agents, Kevin Huvane and everyone at CAA. Bryna and Tamar at I/D. My friends, who are everything to me no matter what's going on in my career. And everyone who's ever hired me: Luc Besson, who gave me my first job when I was eleven years old; Mike Nichols, who has been my hero and my champion for the past decade; and now Darren Aronofsky. You are a fearless leader, a visionary. I am blessed to have just gotten to get to work with you every day for the period of time we did.

 So many people helped me prepare for this role. Mary Helen Bowers spent a year with me, training me. Michelle Rodriguez, and Kurt Froman, and Olga Kostritzky, Marina Stavitskaya, and my beautiful love, Benjamin Millepied, who choreographed the film and has now given me my most important role of my life. And also there are people on films that no one ever talks about that are your heart and soul every day. Margie and Geordie, who did my hair and makeup; Nicci, who dressed me; and Kate and Laura Mulleavy, who designed the beautiful ballet costumes. Joe Reidy, our incredible AD, first AD. And our camera operators, J.C. and Steve, you gave me so much soul behind the camera every day and you gave me all of your energy. Most importantly, my family, my friends, and my love. Thank you so much.
"
2010,83,Kirk Douglas,Actress in a Supporting Role,The Fighter,Melissa Leo,"MELISSA LEO:
 Oh my! Oh my god! Oh wow! Really, really, really, really, really, truly wow. I know there's a lot of people that said a lotta real, real nice things to me for several months now, but I'm just shakin' in my boots here. Okay, alright. Thank you, David O. Russell. I want to thank the actors: Mark Wahlberg; Christian Bale – he might've run out for a second; Amy, my sweet sister Adams; Jack; our lovely daughters. Okay... yeah, I am kind of speechless. Golly sakes, there's people up there, too [waving to the balcony sections]. When I watched Kate two years ago it looked so fuckin' easy – oops!

 Alice Ward, your beautiful family that opened your hearts. I saw Mick here earlier. Dick, shout-out for Nana? Alright, Dick's not in the room. Thank you so much, opening your hearts to all of us to make this film. I thanked David, I'll thank him again. My family, my beautiful son who's traveling right now in South America and can't join me. It's okay; I'm okay, Jack. My mom and my dad, and my brother, and my friends, and my family. And I wanna thank the very most of all, the Academy of Motion Picture Sciences, their board of governors and all their members, whom many of you are here today. This has been an extraordinary journey in getting to know what the Academy is about, and first and foremost, thank you, Academy. Because it's about sellin' motion pictures and respecting the work! Thank you so much!
"
2011,84,Natalie Portman,Actor in a Leading Role,The Artist,Jean Dujardin,"JEAN DUJARDIN:
 Thank you. Ouais! I love your country. Okay. Thank you to the Academy. It's funny because in 1929 it wasn't Billy Crystal but Douglas Fairbanks who hosted the first Oscar ceremony. Tickets cost five dollars and it lasted fifteen minutes. Times have changed. So thank you, Douglas Fairbanks. Yes, Melissa, your grandfather's spirit and joie de vivre inspired me for this role. And so many of you here tonight have inspired me. Thank you, Michel. Thank you for this incredible gift. Thank you, my wonderful partner, Bérénice Bejo. Thank you, the wonderful cast and crew. My wife, I love you. Kisses, Simon, Jules, Chloe. And if George Valentin could speak, he'd say: Wouaou! Putain! Genial! Merci! Formidable! Merci beaucoup! I love you!
"
2011,84,Melissa Leo,Actor in a Supporting Role,Beginners,Christopher Plummer,"CHRISTOPHER PLUMMER:
 [To the Oscar:] You're only two years older than me, darling. Where have you been all my life?

 I have a confession to make. When I first emerged from my mother's womb, I was already rehearsing my Academy thank you speech. But it was so long ago, mercifully for you I've forgotten it. But I haven't forgotten who to thank. The Academy, of course, for this extraordinary honor. And my fellow nominees: Kenneth, Nick, Jonah, dear Max. I'm so proud to be in your company. Of course I wouldn't be here at all if it weren't for Michael Mills and his enchanting film, ""Beginners."" And my screen partner, of course, Ewan McGregor, that superb artist who I would happily share this award with if I had any decency -- but I don't. All the producers at Olympus Films, especially Leslie Urdang and Miranda de Pencier. All the people at Focus, for their tremendous generosity and support. And not to mention my, haha, little band of agents provocateurs: Lou Pitt and his wife Berta, Carter Cohn, Pippa Markham, Perry Zimel, who've tried so hard to keep me out of jail. My daughter Amanda, who always makes me proud. And lastly, my long-suffering wife, Elaine, who deserves the Nobel Peace Prize for coming to my rescue every day of my life. Thank you so much.
"
2011,84,Colin Firth,Actress in a Leading Role,The Iron Lady,Meryl Streep,"MERYL STREEP:
 Oh my god. Oh, c'mon! Oh! Alright. Thank you so much. Thank you, thank you. I -- when they called my name I had this feeling I could hear half of America going, ""Oh no! Oh, c'mon why? Her? Again?"" You know? But, whatever. [Laughs]

 First I'm going to thank Don, because when you thank your husband at the end of the speech they play him out with the music, and I want him to know that everything I value most in our lives you've given me. And now secondly, my other partner. Thirty-seven years ago, my first play in New York City, I met the great hairstylist and makeup artist Roy Helland. And we worked together pretty continuously since the day we clapped eyes on each other. His first film with me was ""Sophie's Choice,"" and all the way up to tonight when he won for his beautiful work in ""The Iron Lady"" thirty years later. Every single movie in between. And I just want to thank Roy, but also I want to thank -- because I really understand I'll never be up here again. I really want to thank all my colleagues, all my friends. I look out here and, you know, I see my life before my eyes: my old friends, my new friends. And really, this is such a great honor, but the thing that counts the most with me is the friendships and the love and the sheer joy we have shared making movies together. My friends, thank you, all of you, departed and here, for this, you know, inexplicably wonderful career. Thank you so much. Thank you.
"
2011,84,Christian Bale,Actress in a Supporting Role,The Help,Octavia Spencer,"OCTAVIA SPENCER:
 Oh, thank you. Thank you, Academy, for putting me with the hottest guy in the room. I have to thank my families. My family in Alabama. The state of Alabama. My L.A. family, watching at Steven's* [unintelligible]. My ""Help"" family. Tate…Tate, Brunson, Kathryn, Allison Janney, thank you for being in my life. I share this with everybody. Thank you, Steven Spielberg, for changing my life. Thank you, Stacey Snider, for changing my life. Please wrap up….I'm wrapping up. I'm sorry, I'm freakin' out. Thank you, world. Oh god, and thank you to WME and Viewpoint L.A. I'm sorry guys. I love you. Thank you. I'm sorry.
"
2012,85,Meryl Streep,Actor in a Leading Role,Lincoln,Daniel Day-Lewis,"DANIEL DAY-LEWIS:
 I really don't know how any of this happened. I do know that I've received so much more than my fair share of good fortune in my life and I'm so grateful to the Academy for this beautiful honor. It's a strange thing because three years ago, before we decided to do a straight swap, I had actually been committed to play Margaret Thatcher... and Meryl was Steven's first choice for Lincoln. And I'd like to see that version. And Steven didn't have to persuade me to play Lincoln but I had to persuade him that perhaps, if I was going to do it, that ""Lincoln"" shouldn't be a musical.

 My fellow nominees, my equals, my betters, I'm so proud to have been included as one amongst you. When we got married sixteen years ago – or since we got married sixteen years ago – my wife Rebecca has lived with some very strange men. I mean they were strange as individuals and probably even stranger if taken as a group. But luckily she's the versatile one in the family and she's been the perfect companion to all of them. I'd like to thank Kathy Kennedy, our producer, and through you, Kathy... and through you, our mighty team of co-conspirators. At the apex of that human pyramid there are three men to whom I owe this and a great deal more: Tony Kushner; our beloved skipper Steven Spielberg; and the mysteriously beautiful mind, body and spirit of Abraham Lincoln. For my mother. Thank you so much.
"
2012,85,Octavia Spencer,Actor in a Supporting Role,Django Unchained,Christoph Waltz,"CHRISTOPH WALTZ:
 Thank you. Thank you so much. Mr. De Niro, Mr. Arkin, Mr. Hoffman and Mr. Jones: my respect. My unlimited gratitude goes to ""Dr. King Schultz."" That is, of course, to his creator and the creator of his awe-inspiring world – Quentin Tarantino. And I thank Jamie Foxx and Leo DiCaprio, Sam Jackson and Kerry Washington. I thank Harvey Weinstein and Amy Pascal, Stacey Sher, Reginald Hudlin and Pilar Savone. I thank Adam Schweitzer, Lisa Kasteler. And I thank my friends Jeff Dashnaw and Bill Clark who saved my neck.

 We participated in a hero's journey – the hero here being Quentin. And you scaled the mountain because you're not afraid of it. You slay the dragon because you're not afraid of it. And you cross through fire because it's worth it. I borrowed my character's words. Sorry; couldn't resist. Thank you.
"
2012,85,Jean Dujardin,Actress in a Leading Role,Silver Linings Playbook,Jennifer Lawrence,"JENNIFER LAWRENCE:
 Thank you. You guys are just standing up because you feel bad that I fell and that's really embarrassing, but thank you. This is nuts.

 Thank you to the Academy and thank you to the women this year. You were so magnificent and so inspiring, and not just those of you in my category. And it has been so amazing getting to know you. And you've been so nice and you've made this experience unforgettable. And thank you to the best producing team: Bruce, Donna, Jon. And to my team at CAA and I/D PR. And Bradley, and our entire cast – Chris, Jacki, Bob – and our crew. And my family. Happy birthday, Emmanuelle. Thank you so much. Thanks.
"
2012,85,Christopher Plummer,Actress in a Supporting Role,Les Misérables,Anne Hathaway,"ANNE HATHAWAY:
 It came true. Thank you so much to the Academy for this and for nominating me with Helen Hunt, Jacki Weaver, Amy Adams and Sally Field. I look up to you all so much and it's just been such an honor. Thank you.

 There are so many people whose generosity and support is the reason that I'm standing here right now. I must thank Hugh Jackman. Hugh, you're the best. The cast, the crew, especially Simon Hayes and the sound wizards. Congratulations on tonight, you guys. The creative team behind ""Les Misérables"": Cameron Mackintosh, Tom Hooper; from Working Title: Eric Fellner, Tim Bevan, Debra Hayward; and from Universal: Ron Meyer, Donna Langley and Adam Fogelson. Thank you, guys, for your faith and thank you for this opportunity.

 I have to thank my team, led by the lionhearted Suzan Bymel. Josh Lieberman, Mick Sullivan, Maha Dakhil… Please say I just said everyone. Josh Lieberman again, just to be safe. Stephen Huvane, Jason Sloane and special contributions by Frank Selvaggi and Kerry Wagner. I want to thank my friends, especially the ones who are cheering from Crosby Street tonight. My family, who I'm so blessed to be a part of. My husband. By far and away, the greatest moment of my life is the one when you walked into it. I love you so much.

 And thank you for this. Here's hoping that someday in the not too distant future the misfortunes of ""Fantine"" will only be found in stories and nevermore in real life. Thank you.
"
2013,86,Jennifer Lawrence,Actor in a Leading Role,Dallas Buyers Club,Matthew McConaughey,"MATTHEW McCONAUGHEY:
 Thank you. Thank you, thank you, thank you, thank you to the Academy for this, all six thousand members. Thank you to the other nominees. All these performances were impeccable in my opinion; I didn't see a false note anywhere. I want to thank Jean-Marc Vallée, our director. I want to thank Jared Leto and Jennifer Garner, who I worked with daily.

 There's a few things, about three things, to my account that I need each day. One of 'em is something to look up to. Another is something to look forward to. And another is someone to chase. Now, first off, I want to thank God, 'cause that's who I look up to. He has graced my life with opportunities that I know are not of my hand or any other human hand. He has shown me that it's a scientific fact that gratitude reciprocates. In the words of the late Charlie Laughton*, who said, ""When you've got God, you've got a friend. And that friend is you.""

 To my family, that's who and what I look forward to. To my father, who I know is up there right now with a big pot of gumbo. He's got a lemon meringue pie over there. He's probably in his underwear and he's got a cold can of Miller Lite. And he's dancin' right now. To you, Dad, you taught me what it means to be a man. To my mother who's here tonight, who taught me and my two older brothers – demanded – that we respect ourselves, and what we in turn learned was then we were better able to respect others. Thank you for that, Mama. To my wife Camila and my kids, Levi, Vida and Mr. Stone, the courage and significance you give me every day I go out the door is unparalleled. You are the four people in my life that I want to make the most proud of me. Thank you.

 And to my hero; that's who I chase. Now, when I was 15 years old I had a very important person in my life come to me and say, ""Who's your hero?"" And I said, I don't know; I gotta think about that. Give me a couple of weeks. I come back two weeks later, this person comes up and says, ""Who's your hero?"" I said, I thought about it. You know who it is? I said, it's me in 10 years. So I turned 25; ten years later that same person comes to me and goes, ""So, are you a hero?"" And I was like, not even close! No, no, no. She said, ""Why?"" I said, because my hero's me at 35. So you see every day, every week, every month and every year of my life, my hero's always 10 years away. I'm never gonna be my hero. I'm not gonna attain that; I know I'm not. And that's just fine with me, because that keeps me with somebody to keep on chasin'.

 So to any of us, whatever those things are: whatever it is we look up to, whatever it is we look forward to, and whoever it is we're chasin'. To that I say: Amen. To that I say: Alright, alright, alright. To that I say: Just keep livin'. Thank you.
"
2013,86,Anne Hathaway,Actor in a Supporting Role,Dallas Buyers Club,Jared Leto,"JARED LETO:
 Incredible. Ellen, I love you. To my fellow nominees, I'm so proud to share this journey with you. I'm in awe and have so much respect for you all. To the Academy, thank you.

 In 1971, Bossier City, Louisiana, there was a teenage girl who was pregnant with her second child. She was a high school dropout and a single mom, but somehow she managed to make a better life for herself and her children. She encouraged her kids to be creative, to work hard and to do something special. That girl is my mother, and she's here tonight. And I just want to say, I love you, Mom. Thank you for teaching me to dream. To my brother, Shannon, the best big brother in the world, you're a true artist. Thank you so much for sharing this insane and amazing adventure that is Thirty Seconds to Mars, and for being my best friend. I love you. Thank you.

 To all the dreamers out there around the world watching this tonight in places like the Ukraine and Venezuela, I want to say, we are here. And as you struggle to, to make your dreams happen, to live the impossible, we're thinking of you tonight. And this is incredibly special as well, because there's so many people that helped me get here. And I just want to say thank you to Focus Features, to Mick Sullivan, to Jim Toth, to Jason Weinberg, to Emma Ludbrook, to Callie Addams, to the entire ""Dallas Buyers Club"" team. Matthew, I love you. Jean-Marc.

 And this is for the 36 million people who have lost the battle to AIDS. And to those of you out there who have ever felt injustice because of who you are or who you love, tonight I stand here in front of the world with you and for you. Thank you so much and goodnight.
"
2013,86,Daniel Day-Lewis,Actress in a Leading Role,Blue Jasmine,Cate Blanchett,"CATE BLANCHETT:
 Sit down; you're too old to be standing. Thank you, Mr. Day-Lewis. From you it exacerbates this honor to it and it blows it right out of the ballpark. Thank you so much to the Academy. As random and as subjective as this award is, it means a great deal in a year of extraordinary – yet again – extraordinary performances by women. Amy Adams, everything you do, but your performance in ""American Hustle"" blew my mind. And Meryl, what can I say? Sandra, I could watch that performance to the end of time, and I sort of felt like I had. Julia, #suckit. You know what I mean? And Judi Dench, I mean what a career. She's not here tonight because at the age of 79 her film was so successful that she's in India doing a sequel. I mean what a career that is, if I could hope.

 And me, I'm here accepting an award in an extraordinary screenplay by Woody Allen. Thank you so much, Woody, for casting me. I truly appreciate it. I'm so very proud that ""Blue Jasmine"" stayed in the cinemas for as long as it did. And thank you to Sony Classics, to Michael and Tom, for their extraordinary support, for so bravely and intelligently distributing the film. And to the audiences who went to see it, and perhaps those of us in the industry who are still foolishly clinging to the idea that female films with women at the center are niche experiences. They are not. Audiences want to see them and, in fact, they earn money. So... The world is round, people!

 Thank you to my mum, to my sister, to my brother, to my three glorious sons; I would not be standing here without you. To my husband Andrew, you are a legend. Thank you to my agent Hylda Queally; you're behind the pillar somewhere up there. You are a goddess. To my agent in Australia, Robyn Gardiner, I love you so very much. To my publicist Lisa Kasteler. To the sublime Sally Hawkins and to the extraordinary cast of ""Blue Jasmine,"" I don't know how to do this without other actors and this I share with you. To the hair and makeup people who sweated me up and tried to make me look attractive, thank you for the attempt. To Carla Meyer, for getting Sally and I together and for incredible support. To Helen Robin. To everyone involved in ""Blue Jasmine,"" I thank you so much.

 And finally, I would like to thank every single member of the Sydney Theatre Company, one of the great theater companies in the world. For me working on ""Blue Jasmine,"" it was a real synthesis of my work in the theater and on film. And not only working with you for the last six years has been the most enormous privilege of my career, but it's made me a better actress. There is so much talent in Australia, and Michael Wilkinson and CM and I are just tonight's tip of the iceberg. Thank you so much. Thank you.
"
2013,86,Christoph Waltz,Actress in a Supporting Role,12 Years a Slave,Lupita Nyong'o,"LUPITA NYONG'O:
 Yes! Thank you to the Academy for this incredible recognition. It doesn't escape me for one moment that so much joy in my life is thanks to so much pain in someone else's. And so I want to salute the spirit of ""Patsey"" for her guidance. And for Solomon, thank you for telling her story and your own.

 Steve McQueen, you charge everything you fashion with a breath of your own spirit. Thank you so much for putting me in this position; it has been the joy of my life. I'm certain that the dead are standing about you and watching and they are grateful and so am I. Chiwetel, thank you for your fearlessness and how deeply you went into telling Solomon's story. Michael Fassbender, thank you so much; you were my rock. Alfre and Sarah, it was a thrill to work with you. Joe Walker, the invisible performer in the editing room, thank you. Sean Bobbitt, Kalaadevi, Adruitha, Patty Norris, thank you, thank you, thank you. I could not be here without your work.

 I want to thank my family for your training, and the Yale School of Drama as well for your training. My friends, the Wilsons, this one's for you. My brother Junior, sitting by my side, thank you so much. You are my best friend. And Ben, my other best friend, my chosen family. When I look down at this golden statue, may it remind me and every little child that no matter where you're from your dreams are valid. Thank you.
"
2014,87,Cate Blanchett,Actor in a Leading Role,The Theory of Everything,Eddie Redmayne,"EDDIE REDMAYNE:
 Oh my god. Thank you. Thank you. Thank you to the Academy. I don't think I'm capable of articulating quite how I feel right now. Please know this, I am fully aware that I am a lucky, lucky man. This, this Oscar... wow! This Oscar, this belongs to all of those people around the world battling ALS. It belongs to one exceptional family: Stephen, Jane, Jonathan and the Hawking children. And I will be its custodian. And I will promise you I will look after him – I will polish him; I will answer his beck and call; I will wait on him hand and foot. But I would not be here were it not for an extraordinary troupe of people. My staggering partner in crime, Felicity Jones. My ferocious and yet incredibly kind director, James Marsh. Working Title, Focus, Lisa and Anthony, Nina, and my ingenious team of Dallas, Josh, Gene, Jason, Elan, Carl*, Britney* and Carrie and Pip. Now, finally, please, this is so extraordinary. I just want to thank my family and you, Hannah, my wife. I love you so much. We have a new fella comin' to share our apartment. Thank you.
"
2014,87,Lupita Nyong'o,Actor in a Supporting Role,Whiplash,J.K. Simmons,"J.K. SIMMONS:
 Wow, thank you. Thank you to the Academy. Thank you to everyone involved in the making of ""Whiplash."" And I am grateful every day for the most remarkable person I know: my wife, the wonderful Michelle Schumacher. I'm grateful for your love, your kindness, your wisdom, your sacrifice and your patience. Which brings me to the above-average children – even though I may try their patience more. Joe and Olivia, you are extraordinary human beings. Smart, funny, kind, loving people, and that's because you are a reflection of your mother.

 And if I may, call your mom, everybody. I've told this [to] like a billion people or so. Call your mom, call your dad. If you're lucky enough to have a parent or two alive on this planet, call 'em. Don't text. Don't email. Call them on the phone. Tell 'em you love 'em, and thank them, and listen to them for as long as they want to talk to you. Thank you. Thank you, Mom and Dad.
"
2014,87,Matthew McConaughey,Actress in a Leading Role,Still Alice,Julianne Moore,"JULIANNE MOORE:
 Thank you so much. I read an article that said that winning an Oscar could lead to living five years longer. If that's true, I'd really like to thank the Academy because my husband is younger than me. There's no such thing as best actress, as is evidenced by the performances of my fellow nominees. I've been honored to be among you every step of the way. I am grateful for this and grateful for the opportunity to stand up here and thank people that I love. My manager Evelyn O'Neill, Kevin Huvane, Steven Huvane, Josh Lieberman. My family: my grandparents, my brother Peter, my sister Valerie, my mother and father who told me that I could be whatever I wanted to be if I got an education. Although I didn't think they meant being an actress. And I thank my dad for showing me the world.

 I want to thank everybody who made this movie: Sony Classics, Killer Films, James Brown, Lex Lutzus, Lisa Genova, Kristen Stewart, Alec Baldwin. I'm so happy, I'm thrilled, actually, that we were able to hopefully shine a light on Alzheimer's disease. So many people with this disease feel isolated and marginalized, and one of the wonderful things about movies is it makes us feel seen and not alone. And people with Alzheimer's deserve to be seen, so that we can find a cure. And finally, to our filmmakers, Wash Westmoreland and Richard Glatzer, who had hoped to be here tonight but they can't because of Richard's health. When Richard was diagnosed with ALS, Wash asked him what he wanted to do. Did he want to travel? Did he want to see the world? And he said that he wanted to make movies, and that's what he did. And finally, for my husband Bart and our children, Cal and Liv, thank you for my life, thank you for giving me a home. Thank you very much for this.
"
2014,87,Jared Leto,Actress in a Supporting Role,Boyhood,Patricia Arquette,"PATRICIA ARQUETTE:
 Okay, Jesus. Thank you to the Academy, to my beautiful, powerful nominees. To IFC, Jonathan Sehring, John Sloss, Cathleen Sutherland, Molly Madden, David DeCamillo, our whole cast and our crew. My ""Boyhood"" family, who I love and admire: our brilliant director, Richard Linklater; the impeccable Ethan Hawke; my lovelies, Ellar Coltrane, Lorelei Linklater.

 Thomas and Paul, thank you for giving me my beautiful children. Enzo and Harlow, you're the deepest people that I know. My friends who all work so hard to make this world a better place. To my parents, Rosanna, Richmond, Alexis and David. To my favorite painter in the world, Eric White, for the inspiration of living with a genius. To my heroes, volunteers and experts who have helped me bring ecological sanitation to the developing world with GiveLove.org. To every woman who gave birth. To every taxpayer and citizen of this nation, we have fought for everybody else's equal rights. It's our time to have wage equality once and for all and equal rights for women in the United States of America.
"
2015,88,Julianne Moore,Actor in a Leading Role,The Revenant,Leonardo DiCaprio,"LEONARDO DiCAPRIO:
 Thank you. Thank you all so very much. Thank you to the Academy. Thank you to all of you in this room. I have to congratulate the other incredible nominees this year for their unbelievable performances. ""The Revenant"" was a product of the tireless efforts of an unbelievable cast and crew I got to work alongside. First off, to my brother in this endeavor, Mr. Tom Hardy. Tom, your fierce talent on screen can only be surpassed by your friendship off screen. To Mr. Alejandro Iñárritu, as the history of cinema unfolds you have forged your way into history these past two years. What an unbelievable talent you are. Thank you to you and Chivo for creating a transcendent cinematic experience for all of us. Thank you to everybody at Fox and New Regency, in particular Arnon Milchan. You were the champion of this endeavor. My entire team. I have to thank everyone from the very onset of my career. Mr. Caton-Jones, for casting me in my first film. Mr. Scorsese, for teaching me so much about the cinematic art form. To Mr. Rick Yorn, thank you for helping me navigate my way through this industry. And to my parents, none of this would be possible without you. And to my friends, I love you dearly; you know who you are.

 And lastly, I just want to say this. Making ""The Revenant"" was about man's relationship to the natural world, a world that we collectively felt in 2015 as the hottest year in recorded history. Our production needed to move to the southern tip of this planet just to be able to find snow. Climate change is real. It is happening right now. It is the most urgent threat facing our entire species and we need to work collectively together and stop procrastinating. We need to support leaders around the world who do not speak for the big polluters or the big corporations, but who speak for all of humanity. For the indigenous people of the world. For the billions and billions of underprivileged people who will be most affected by this. For our children's children. And for those people out there whose voices have been drowned out by the politics of greed. I thank you all for this amazing award tonight. Let us not take this planet for granted. I do not take tonight for granted. Thank you so very much.
"
2015,88,Patricia Arquette,Actor in a Supporting Role,Bridge of Spies,Mark Rylance,"MARK RYLANCE:
 I've always, I've always just adored stories. Hearing them. Seeing them. Being in them. So for me to have the chance to work with, I think, one of the greatest storytellers of our time, Steven Spielberg, has just been such an honor. And unlike some of the leaders we're being presented with these days, he leads with such love that he's surrounded by masters in every craft on this film. Every craft. Not the least, Mr. Tom Hanks. People... I'm so pleased that our film has been nominated so many times, and as a face of the film I meet many people in the streets. And it's lovely to have them, they're always saying to me, ""would it help?"" and all that stuff. And I think if you ever wondered about acting with Tom Hanks, would it help? The answer's clearly yes.

 I want to just say thank you to my fellow nominees. I don't know how they separate my acting from your glorious acting in these wonderful films that you're in, which everyone must see. I don't know how they separated the five of us from all the other supporting actors who are making films at the moment. It's a wonderful time to be an actor and I'm proud to be part of it. Thank you.
"
2015,88,Eddie Redmayne,Actress in a Leading Role,Room,Brie Larson,"BRIE LARSON:
 Thank you. Thank you first to the Academy. I want to start big because the thing that I love about moviemaking is how many people it takes to make it. So I want to start first with the Telluride Film Festival, the Toronto Film Festival, who gave us a chance, who gave us a platform first. I'd like to thank A24 for taking this movie into their hands and sharing it with the world. I'd like to thank our director Lenny Abrahamson, who is absolutely incredible. Emma Donoghue, who created this world. Jacob Tremblay, my partner through this in every way possible. My real partner, Alex Greenwald; I love you the whole thing. To my parents, my agent, my manager, Chris Fioto, Anne Woodward, Lindsay Galin, the rest of my team, my friends, my family. Thank you to everyone who participated in ""Room."" Thank you to all of you who saw it. Thank you to the fans. Thank you to the moviegoers. Thank you for going to the theater and seeing our films. I appreciate it. Thank you.
"
2015,88,J.K. Simmons,Actress in a Supporting Role,The Danish Girl,Alicia Vikander,"ALICIA VIKANDER:
 Wow. Thank you so much, the Academy, for this incredible recognition. I share this with our fabulous crew and cast. And I want to thank, I want to thank Gail and Anne and Nina and Working Title and Focus and Tom. Where are you? My director. Thank you so much for your support and belief in me. And Eddie, there you are. Thank you for being the best acting partner; I couldn't have done it without you. You raised my game. I wouldn't be here if it wasn't for my dream team, which is Theresa, Angharad, Charles, Laura. I want to thank my friends, alla ni där hemma. And my mom and dad, thank you for giving me the belief that anything can happen, even though I would never have believed this. Thank you.

 =============================

 Thank you scroll (as it appeared on the live broadcast):
 Alicia Vikander would like to thank: Everyone in the incredibly passionate and hardworking crew. From the runners to the H.O.D.s - it wouldn't have been possible without you! Thank you Carmel Jackson, the entire make-up, hair and costume department. Thank you Nina Gold for believing in me. Thank you Tom, Eddie, Matthias, Amber, Rebecca, Gail and Anne, Danny, Lucinda, David, Leslie Fabian, Penny, Working Title, and Focus. My incredible team: Laura, Angharad, Charles, Theresa, Emma, Laura and my friends and family. Love you all!!
"
2016,89,Brie Larson,Actor in a Leading Role,Manchester by the Sea,Casey Affleck,"CASEY AFFLECK:
 That means so much to me, thank you. One of the first people who taught me how to act was Denzel Washington, and I just met him tonight for the first time. Thank you. And to all the other nominees, you did great work. I'm proud to be in your company. You guys are very brave and I admire what you do. I'm only here, really, because of all the talents and goodwill of so many people; they're impossible to name. But most of all Kenneth Lonergan, who made this part, and without this part and without his writing I wouldn't be here for sure. And well, he directed it. Man, I wish I had something bigger and more meaningful to say, but I'm just, I'm really proud to be a part of this community in general. I look out at all of you, I have this whole year, and I'm just dumbfounded that I'm included. It means a lot to me. Thank you also to Matt Damon for creating this opportunity. To Mara Buxbaum, for so much. And to Patrick and Boomer, and so many people. Of course my mother and my father, for mostly, usually, believing in me in doing this. And Ben, I love you; you ain't heavy. Thank you all very much. Appreciate it.
"
2016,89,Alicia Vikander,Actor in a Supporting Role,Moonlight,Mahershala Ali,"MAHERSHALA ALI:
 [Buttoning his jacket] My grandma would want me to button up. Wow. I want to thank my teachers, my professors. Have so many wonderful teachers. And one thing that they consistently told me – Zelda Fichandler, Ron Van Lieu, Ken Washington – is that it wasn't about you. It's not about you. It's about these characters. You are a servant, you're in service to these stories and these characters, and I'm so blessed to have had an opportunity. It was about ""Juan."" It was about ""Chiron."" It was about ""Paula."" The cast and crew was just such a wonderful experience. Thank you, Barry Jenkins. Thank you, Tarell Alvin McCraney. Adele Romanski, who forced Barry to cast me. [Laughs.] No, but it's just such a wonderful experience and I have so many people to thank who've gotten me here. My manager Carolyn Govers, who I've been with for 10 years. Just thank you so much. And the rest of the cast who did wonderful work, any one of them could be up here right now holding this trophy. It's such a gift getting to work with you and be inspired by you and the performances that you all offered up. So thank you, the Academy. Really appreciate this. And lastly, I just want to thank my wife who was in her third trimester during awards season. We just had our daughter four days ago. So, I just want to thank her for being just such a soldier through this process, and help, and really carrying me through it all. So thank you. Really appreciate it. Peace and blessings.
"
