year,award_no,presented_by,category,film,winner,speech
1959,32,Rock Hudson,Actress,Room at the Top,Simone Signoret,"SIMONE SIGNORET:
 I can't say anything. Oh, I thank you. I thank you so much. I wanted to be very dignified and all that, well I can't. You can't imagine what it is for me, being French. You can't imagine. And I want to thank Jimmy Woolf, and Jack Clayton, and Laurence Harvey because, it looks a little corny to say that, but you know that without them I wouldn't have never been here tonight. Thank you so, so much.
"
1959,32,Edmond O'Brien,Actress in a Supporting Role,The Diary of Anne Frank,Shelley Winters,"SHELLEY WINTERS:
 You know, it takes a lot of people to put this in your hand. First, someone has to write a dimensional role in a very fine motion picture. And next, somebody has to get you the part. Then you have to have a great director. And then you have to be nominated and voted. So I would like to thank the memory of that wonderful little girl, Miss Anne Frank, who wrote with such depth and perception about human beings. I'd like to thank my wonderful friend and creative agent, Mr. Herb Brenner. And Mr. George Stevens. And last but not least, I thank you, the Academy.
"
1960,33,Greer Garson,Actor,Elmer Gantry,Burt Lancaster,"BURT LANCASTER:
 When Miss Garson handed me this she very graciously said, ""So well earned."" And that was a lovely thing to say. I want to, needless to say I want to thank all the members of the Academy who expressed this kind of confidence in voting for me. And right now I feel so happy that I want to thank all the members of the Academy who did not vote for me. Thank you all very much.
"
1960,33,Eva Marie Saint,Actor in a Supporting Role,Spartacus,Peter Ustinov,"PETER USTINOV:
 Ladies and gentlemen, having been educated in an English school we were taught for at least fifteen years of our lives how to lose gracefully, and I'd been preparing myself for that all afternoon. Now I don't quite know what to say except that obviously, whatever people may think, you can't act by yourself. I want to thank all my colleagues, whom perhaps by what I did I prevented from winning themselves. It might have been naughtiness on my part. And also the cutter, and the producer, and the director who chose the best bits. Thank you very much indeed.
"
1960,33,Yul Brynner,Actress,Butterfield 8,Elizabeth Taylor,"ELIZABETH TAYLOR:
 I don't really know how to express my gratitude for this and for everything. I guess all I can do is say thank you, thank you with all my heart.
"
1960,33,Hugh Griffith,Actress in a Supporting Role,Elmer Gantry,Shirley Jones,"SHIRLEY JONES:
 Thank you very much. I can only think that I wouldn't be standing here tonight accepting this Oscar if it weren't for another Oscar – Hammerstein – and Mr. Richard Rodgers. And also for the belief of Mr. Burt Lancaster, Mr. Richard Brooks, and Mr. Bernie Smith having me and allowing me to play the part of ""Lulu Bains"" in ""Elmer Gantry."" This is the proudest moment of my career because of them. Thank you all.
"
1961,34,Joan Crawford,Actor,Judgment at Nuremberg,Maximilian Schell,"MAXIMILIAN SCHELL:
 Ladies and gentlemen, I know this award honors not only me but also the picture ""Judgment at Nuremberg,"" my wonderful director, and the great cast and especially that great old man who was nominated for the eighth time now, Spencer Tracy.

 When I came first to this country I met the custom man. And he was asking what I was doing here and I said I'm going to do a film. And he said to me: ""Good luck, boy."" And I think that was very unusual for a custom man, and I can tell him now that I had it. Thank you very much.
"
1961,34,Shirley Jones,Actor in a Supporting Role,West Side Story,George Chakiris,"GEORGE CHAKIRIS:
 I don't think I'll try and talk too much. I just want to say thank you very, very much. Thank you.
"
1961,34,Burt Lancaster,Actress,Two Women,Sophia Loren,"GREER GARSON:
 Oh, it's such an exciting moment. I'm honored to accept this for Miss Sophia Loren and I wish so very much she could be with us tonight so that all of us here and our great television audience could share this exciting moment with this wildly beautiful and talented girl. Congratulations, Sophia, wherever you are. And we do so earnestly wish you good health and happiness along with this wonderful award.
"
1961,34,Rock Hudson,Actress in a Supporting Role,West Side Story,Rita Moreno,"RITA MORENO:
 I can't believe it! Good Lord. I leave you with that.
"
